water,area,prod,city,name,visited,rank,season,region_name
152554145.90391397,82611.15326299384,308928.8481859137,Alexandria,Rice,1,1,,
3090667231.0218754,592536.9060827468,2003897.6401318733,Sharkia,Rice,1,2,,
895981617.7564334,156350.0,539252.8411143458,Damietta,Rice,1,3,,
0,0,0,Dakahlia,Rice,1,4,,
0,0,0,Kafr el sheikh,Rice,1,5,,
0,0,0,Ismailia,Rice,1,6,,
0,0,0,Port said,Rice,1,7,,
0,0,0,Behaira,Rice,1,8,,
0,0,0,Gharbia,Rice,1,9,,
0,0,0,Quliubiya,Rice,1,10,,
0,0,0,Fayoum,Rice,1,11,,
0,0,0,Beni sweif,Rice,1,12,,
0,0,0,Assuit,Rice,0,13,,
0,0,0,Aswan,Rice,0,14,,
0,0,0,Cairo,Rice,0,15,,
0,0,0,Giza,Rice,0,16,,
0,0,0,Luxor,Rice,0,17,,
0,0,0,Minya,Rice,0,18,,
0,0,0,Monoufia,Rice,0,19,,
0,0,0,Qena,Rice,0,20,,
0,0,0,Sohag,Rice,0,21,,
0,0,0,Suez,Rice,0,22,,
15809942.039708966,20914.0,41755.784930324335,Aswan,Maize,1,1,,
195931733.33333334,91843.0,213250.699047619,Giza,Maize,1,2,,
241769139.49275362,91190.0,205631.7980072464,Luxor,Maize,1,3,,
517044211.3641248,148934.15132290943,365564.8880148102,Minya,Maize,1,4,,
0,0,0,Beni sweif,Maize,1,5,,
0,0,0,Assuit,Maize,1,6,,
0,0,0,Qena,Maize,1,7,,
0,0,0,Sohag,Maize,1,8,,
532630000.0,95806.73183315463,0.0,Fayoum,Maize,0,9,,
0,0,0,Alexandria,Maize,0,10,,
0,0,0,Behaira,Maize,0,11,,
0,0,0,Cairo,Maize,0,12,,
0,0,0,Dakahlia,Maize,0,13,,
0,0,0,Damietta,Maize,0,14,,
0,0,0,Gharbia,Maize,0,15,,
0,0,0,Ismailia,Maize,0,16,,
0,0,0,Kafr el sheikh,Maize,0,17,,
0,0,0,Monoufia,Maize,0,18,,
0,0,0,Port said,Maize,0,19,,
0,0,0,Quliubiya,Maize,0,20,,
0,0,0,Sharkia,Maize,0,21,,
0,0,0,Suez,Maize,0,22,,
21484000.0,46737.0,137891.0,Alexandria,Sorghum,1,1,,
763152.1739130435,595.0,1172.753623188406,Cairo,Sorghum,1,2,,
532823128.18500835,398267.94065425935,1552531.7939442887,Dakahlia,Sorghum,1,3,,
511099053.0612905,225875.9060827468,744061.808272578,Gharbia,Sorghum,1,4,,
0,0,0,Aswan,Sorghum,1,5,,
0,0,0,Sharkia,Sorghum,1,6,,
240898475.15958214,84057.70504200729,282476.29345290095,Ismailia,Sorghum,1,7,,
1533882585.278724,513208.94065425935,1722005.8949530586,Behaira,Sorghum,1,8,,
543633131.2031225,179877.15326299384,609864.0941133761,Quliubiya,Sorghum,1,9,,
38658541.35338346,12454.0,27157.739348370927,Suez,Sorghum,1,10,,
0,0,0,Giza,Sorghum,1,11,,
1244659343.000929,393741.94065425935,1392148.665339567,Kafr el sheikh,Sorghum,1,12,,
180312841.43092796,52781.94065425933,129117.19932816226,Port said,Sorghum,1,13,,
1769796626.0618207,279989.55371909786,759473.1688966998,Minya,Sorghum,1,14,,
812799000.0,146989.27620041126,402511.8288870864,Assuit,Sorghum,0,15,,
0,0,0,Qena,Sorghum,1,16,,
654721000.0,65346.84056938321,0.0,Sohag,Sorghum,0,17,,
0,0,0,Monoufia,Sorghum,1,18,,
0,0,0,Beni sweif,Sorghum,1,19,,
0,0,0,Damietta,Sorghum,1,20,,
0,0,0,Luxor,Sorghum,1,21,,
467861000.0,102501.0,0,Fayoum,Sorghum,0,22,,
609526000.0,85869.0,4536367.0,Aswan,Sugar cane,1,1,,
1768328660.2103055,248153.2453,7671913.308893129,Beni sweif,Sugar cane,1,2,,
752000.0,96.0,3959.0,Kafr el sheikh,Sugar cane,1,3,,
0,0,0,Dakahlia,Sugar cane,1,4,,
0,0,0,Quliubiya,Sugar cane,1,5,,
0,0,0,Behaira,Sugar cane,1,6,,
0,0,0,Damietta,Sugar cane,1,7,,
0,0,0,Cairo,Sugar cane,1,8,,
0,0,0,Luxor,Sugar cane,1,9,,
822951689.2876925,91990.69386640642,4085556.7811068706,Sohag,Sugar cane,1,10,,
0,0,0,Minya,Sugar cane,1,11,,
0,0,0,Giza,Sugar cane,1,12,,
2270000.0,237.0,0,Fayoum,Sugar cane,0,13,,
0,0,0,Qena,Sugar cane,1,14,,
11024000.0,1081.0,0,Assuit,Sugar cane,0,15,,
0,0,0,Alexandria,Sugar cane,0,16,,
0,0,0,Gharbia,Sugar cane,0,17,,
0,0,0,Ismailia,Sugar cane,0,18,,
0,0,0,Monoufia,Sugar cane,0,19,,
0,0,0,Port said,Sugar cane,0,20,,
0,0,0,Sharkia,Sugar cane,0,21,,
0,0,0,Suez,Sugar cane,0,22,,
366999.99999999994,620.0,571.0,Alexandria,Sunflower,1,1,,
7035000.0,3952.0,4358.0,Behaira,Sunflower,1,2,,
4715271.129296232,2579.65505728314,6459.709999999995,Assuit,Sunflower,1,3,,
8368999.999999999,3115.0,2389.0,Fayoum,Sunflower,0,4,,
0,0,0,Gharbia,Sunflower,1,5,,
0,0,0,Dakahlia,Sunflower,1,6,,
0,0,0,Sharkia,Sunflower,1,7,,
0,0,0,Beni sweif,Sunflower,1,8,,
0,0,0,Minya,Sunflower,1,9,,
0,0,0,Giza,Sunflower,1,10,,
43000.0,12.0,0,Sohag,Sunflower,0,11,,
0,0,0,Aswan,Sunflower,0,12,,
0,0,0,Cairo,Sunflower,0,13,,
0,0,0,Damietta,Sunflower,0,14,,
0,0,0,Ismailia,Sunflower,0,15,,
0,0,0,Kafr el sheikh,Sunflower,0,16,,
0,0,0,Luxor,Sunflower,0,17,,
0,0,0,Monoufia,Sunflower,0,18,,
0,0,0,Port said,Sunflower,0,19,,
0,0,0,Qena,Sunflower,0,20,,
0,0,0,Quliubiya,Sunflower,0,21,,
0,0,0,Suez,Sunflower,0,22,,
23000.0,23.0,16.0,Ismailia,Soybean,1,1,,
3106000.0,1136.0,1334.0,Sharkia,Soybean,1,2,,
21594000.0,6749.0,8307.0,Dakahlia,Soybean,1,3,,
0,0,0,Damietta,Soybean,1,4,,
0,0,0,Behaira,Soybean,1,5,,
0,0,0,Quliubiya,Soybean,1,6,,
0,0,0,Kafr el sheikh,Soybean,1,7,,
0,0,0,Gharbia,Soybean,1,8,,
42341603.684210464,13105.734473684191,38309.06999999994,Monoufia,Soybean,1,9,,
24000.0,6.0,0,Fayoum,Soybean,0,10,,
0,0,0,Beni sweif,Soybean,1,11,,
0,0,0,Minya,Soybean,1,12,,
7123999.999999999,1542.0,0,Assuit,Soybean,0,13,,
855000.0,179.0,0,Sohag,Soybean,0,14,,
0,0,0,Alexandria,Soybean,0,15,,
0,0,0,Aswan,Soybean,0,16,,
0,0,0,Cairo,Soybean,0,17,,
0,0,0,Giza,Soybean,0,18,,
0,0,0,Luxor,Soybean,0,19,,
0,0,0,Port said,Soybean,0,20,,
0,0,0,Qena,Soybean,0,21,,
0,0,0,Suez,Soybean,0,22,,
157000.0,2173.0,1221.0,Aswan,Sesame,1,1,,
258999.99999999997,1665.0,659.0,Alexandria,Sesame,1,2,,
774000.0,489.0,247.0,Luxor,Sesame,1,3,,
78822413.58644858,44563.36061915886,28453.18499999999,Sohag,Sesame,1,4,,
0,0,0,Suez,Sesame,1,5,,
0,0,0,Ismailia,Sesame,1,6,,
0,0,0,Beni sweif,Sesame,1,7,,
1959000.0,901.0,447.0,Assuit,Sesame,0,8,,
0,0,0,Minya,Sesame,1,9,,
0,0,0,Sharkia,Sesame,1,10,,
0,0,0,Behaira,Sesame,1,11,,
0,0,0,Cairo,Sesame,1,12,,
0,0,0,Damietta,Sesame,1,13,,
0,0,0,Gharbia,Sesame,1,14,,
0,0,0,Port said,Sesame,1,15,,
0,0,0,Dakahlia,Sesame,1,16,,
0,0,0,Kafr el sheikh,Sesame,1,17,,
0,0,0,Quliubiya,Sesame,1,18,,
0,0,0,Giza,Sesame,1,19,,
0,0,0,Qena,Sesame,1,20,,
11082000.0,3086.0,0,Fayoum,Sesame,0,21,,
0,0,0,Monoufia,Sesame,0,22,,
4000.0,461.0,600.0,Aswan,Peanuts,1,1,,
34000.0,84.0,69.0,Luxor,Peanuts,1,2,,
880000.0,1132.0,1694.0,Beni sweif,Peanuts,1,3,,
0,0,0,Ismailia,Peanuts,1,4,,
89140236.55212583,52356.46423995342,83819.16000000002,Sohag,Peanuts,1,5,,
0,0,0,Minya,Peanuts,1,6,,
1680000.0,791.0,0,Assuit,Peanuts,0,7,,
0,0,0,Giza,Peanuts,1,8,,
0,0,0,Behaira,Peanuts,1,9,,
0,0,0,Sharkia,Peanuts,1,10,,
0,0,0,Kafr el sheikh,Peanuts,1,11,,
0,0,0,Monoufia,Peanuts,1,12,,
0,0,0,Quliubiya,Peanuts,1,13,,
0,0,0,Gharbia,Peanuts,1,14,,
122000.0,35.0,0,Fayoum,Peanuts,0,15,,
0,0,0,Qena,Peanuts,1,16,,
0,0,0,Alexandria,Peanuts,0,17,,
0,0,0,Cairo,Peanuts,0,18,,
0,0,0,Dakahlia,Peanuts,0,19,,
0,0,0,Damietta,Peanuts,0,20,,
0,0,0,Port said,Peanuts,0,21,,
0,0,0,Suez,Peanuts,0,22,,
286000.0,33595.90608274682,520342.20567910385,Cairo,vegetables,1,1,,
5252000.0,32505.705042007296,32307.595999335776,Aswan,vegetables,1,2,,
84284644.91256362,215551.0,10930694.08093534,Qena,vegetables,1,3,,
0,0,0,Port said,vegetables,1,4,,
0,0,0,Quliubiya,vegetables,1,5,,
0,0,0,Beni sweif,vegetables,1,6,,
0,0,0,Damietta,vegetables,1,7,,
56037925.87040023,42468.640705098085,678496.7266448518,Sohag,vegetables,1,8,,
0,0,0,Alexandria,vegetables,1,9,,
0,0,0,Suez,vegetables,1,10,,
0,0,0,Monoufia,vegetables,1,11,,
